name,bigg_id,hmdb_id,kegg_id,A549.Parental.1,A549.Parental.2,A549.Parental.3,A549.Parental.4,A549.Parental.5,A549.Mesenchymal.1,A549.Mesenchymal.2,A549.Mesenchymal.3,A549.Mesenchymal.4,A549.Mesenchymal.5
1-methylnicotinamide,1mncam,HMDB00699,C02918,0.57,0.51,0.61,0.53,0.66,1.21,1.06,1.14,1.21,1.4
"2,3-diphosphoglycerate",23dpg,HMDB01294,C01159,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
2-aminoadipate,L2aadp,HMDB00510,C00956,0.38,0.5,0.55,0.71,0.85,0.72,0.61,0.83,0.34,0.63
2'-deoxyguanosine,dgsn,HMDB00085,C00330,0.39,0.39,0.39,0.39,0.39,1.86,1.13,1.06,1.89,2.39
2'-deoxyinosine,din,HMDB00071,C05512,0.3,0.56,0.36,0.33,0.47,1.67,0.18,0.82,0.95,1.61
2-hydroxyglutarate,S2hglut,HMDB00694,C03196,0.1,0.24,0.33,0.38,0.38,0.1,0.1,0.1,0.1,0.1
2-phosphoglycerate,2pg,"HMDB00362, HMDB03391",C00631,0.35,0.14,0.93,0.04,0.18,3.21,23.93,7.41,35.32,5.48
3-(4-hydroxyphenyl)lactate (HPLA),34hpl,HMDB00755,C03672,0.46,0.49,0.52,0.51,0.47,0.39,0.39,0.39,0.39,0.39
3'-AMP,3amp,"HMDB03540, HMDB06550",C01367,1.49,1.01,1,1.21,0.83,4.29,2.2,2.71,2.63,3.4
3'-dephosphocoenzyme A,dpcoa,HMDB01373,C00882,1.26,1.51,2.63,1,1.49,0.1,0.1,0.1,0.67,0.1
3-methyl-2-oxovalerate,3mop,"HMDB00491, HMDB01962, HMDB02254, HMDB03736, HMDB04750","C00671, C03465, C06008",0.33,0.33,0.33,0.33,0.33,1.95,1.7,1.72,1.54,0.33
3-phosphoglycerate,3pg,"HMDB00807, HMDB60180","C00197, C00597",0.24,0.17,0.49,0.14,0.13,6.18,14.25,14.76,21.54,11.19
3-phosphoserine,pser-L,HMDB00272,C01005,0.54,0.95,0.83,0.57,0.67,1.93,2.02,2.82,3.33,1.93
4-acetamidobutanoate,4aabutn,"HMDB03681, HMDB06238, HMDB60265",C02946,0.6,0.7,0.8,0.71,0.37,0.37,0.78,0.37,1.41,0.37
4-methyl-2-oxopentanoate,4mop,"HMDB00695, HMDB00762",C00233,0.26,0.26,0.26,0.26,0.26,1.9,2.38,2.75,2.13,1.12
5'- GMP,gmp,HMDB01397,C00144,5.16,6.03,7.04,6.84,5.19,0.06,1.77,0.94,0.06,0.06
5-methyltetrahydrofolate (5MeTHF),5mthf,HMDB01396,"C00440, D09353",0.36,0.71,0.41,0.96,0.47,0.36,0.36,0.36,0.36,0.36
5-methylthioadenosine (MTA),5mta,HMDB01173,C00170,2.06,2.28,2.67,2.75,2.62,1.07,2.17,1.82,2,1.74
5-oxoproline,5oxpro,"HMDB00267, HMDB00805, HMDB60262",C01879,0.51,0.67,0.66,0.98,0.72,0.59,0.58,0.76,0.64,0.67
5-phosphoribosyl diphosphate (PRPP),prpp,HMDB00280,C00119,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6-phosphogluconate,6pgc,HMDB01316,C00345,0.2,0.09,0.22,0.03,0.03,3.42,0.39,0.66,1.45,2.86
7-alpha-hydroxycholesterol,xol7a,HMDB01496,C03594,0.53,0.63,0.49,1.17,0.53,1.89,1.38,1.6,2.38,2.04
7-beta-hydroxycholesterol,,HMDB06119,,1.01,1.2,0.96,1.52,1.12,1.41,1.38,1.88,1.88,1.55
7-dehydrocholesterol,7dhchsterol,"HMDB00032, HMDB06505",C01164,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
acetylcarnitine (C2),acrn,"HMDB00201, HMDB00456, HMDB00515",C02571,0.43,0.5,0.42,0.51,0.41,1.17,1.04,1.23,1.06,1.2
acetyl-CoA,accoa,HMDB01206,C00024,0.19,0.37,0.23,0.45,0.37,0.19,0.19,0.19,0.19,0.19
adenine,ade,HMDB00034,"C00147, D00034",0.16,0.57,0.32,0.51,0.49,1.04,0.58,0.67,0.5,0.7
adenosine,adn,"HMDB00050, HMDB04401, HMDB04402, HMDB04421, HMDB14340 ","C00212, D00045, D06298",0.44,1.32,0.68,1.09,0.97,0.74,0.9,0.96,1.01,0.81
adenosine 5'-diphosphoribose (ADP-ribose),adprib,HMDB01178,"C00301, C01882",3.31,3.28,1.56,2.43,1.83,6.18,3.79,5.77,4.79,6.84
ADP,adp,HMDB01341,"C00008, G11113",0.8,1.16,0.99,0.75,0.67,1.1,1.64,1.96,1.34,1.79
adrenate (22:4n6),adrn,HMDB02226,C16527,0.56,0.69,0.61,0.28,0.3,8.36,3.57,2.65,3.9,3.52
agmatine,agm,"HMDB01432, HMDB60259",C00179,0.91,1.63,0.96,0.95,0.99,2.07,1.14,1.82,1.7,1.33
AICA ribonucleotide,aicar,HMDB01517,C04677,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
alanine,ala-L,HMDB00161,"C00041, D00012",0.66,0.44,0.58,0.54,0.45,2.3,2.31,2.45,2.85,2.83
allantoin,alltn,HMDB00462,"C01551, D00121",0.44,0.38,0.19,0.46,0.21,0.6,0.65,0.9,0.64,1.41
alpha-ketoglutarate,akg,"HMDB00208, HMDB02812",C00026,0.22,0.22,0.22,0.22,0.22,0.41,1.18,1,0.78,0.46
AMP,amp,HMDB00045,"C00020, D02769, D06299",3.29,7.81,3.89,11.19,5.9,0.23,1.03,0.73,0.15,0.29
arabitol,abt,"HMDB00199, HMDB01851",C00532,0.33,0.66,0.72,0.35,0.78,1.23,0.33,1.79,1.61,0.33
arachidonate (20:4n6),arachd,HMDB01043,C00219,1,1,1.01,0.4,0.46,3.64,1.39,1.64,1.53,2.26
arginine,arg-L,HMDB00517,"C00062, D02982",1.31,1.16,1.23,1,0.97,7.71,6.27,6.84,7.56,7.92
asparagine,asn-L,HMDB00168,C00152,0.35,0.38,0.74,0.38,0.33,0.75,1.19,1.45,1.34,1.3
aspartate,asp-L,HMDB00191,"C00049, D00013",0.41,0.62,0.73,0.91,0.61,0.73,0.97,1.24,0.94,1.09
ATP,atp,HMDB00538,"C00002, D08646",0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
benzoate,bz,HMDB01870,"C00180, C00539, D00038",0.58,0.71,0.57,0.46,0.53,1.06,0.91,1,1.26,1.16
beta-alanine,ala_B,HMDB00056,"C00099, D07561",0.39,0.87,0.42,0.81,0.9,0.51,0.61,0.5,0.3,0.45
betaine,glyb,"HMDB00043, HMDB59606","C00719, D07523",0.7,0.97,0.71,0.71,0.62,1.22,0.77,1.05,0.51,1.01
caproate (6:0),hxa,HMDB61883,C01585,1.02,1.23,0.95,0.66,0.91,4.59,5.12,5.36,5.66,4.96
caprylate (8:0),octa,HMDB00482,"C06423, D05220",1,0.37,0.98,0.37,0.77,3.15,1.25,0.99,1.64,1.79
carnitine,crn,"HMDB00062, HMDB01467","C00318, D02176",0.48,1.02,0.72,0.92,0.97,1.03,0.8,1.06,0.6,1.02
CDP-choline,cdpchol,HMDB01413,"C00307, D00057",0.49,0.95,1.02,0.98,1.08,0.57,1.8,1.1,1.05,0.58
cholesterol,chsterol,"HMDB00067, HMDB00507","C00187, D00040",0.75,1.07,0.75,1.25,0.76,1.27,0.82,1.19,0.94,1.39
citrate,cit,HMDB00094,"C00158, D00037",0.95,1.07,0.95,0.89,0.81,1.43,0.88,0.88,0.99,1.19
citrulline,citr-L,HMDB00904,"C00327, D07706",0.37,0.37,0.37,0.43,0.5,1.93,0.37,0.37,3.29,2.62
CMP,cmp,HMDB00095,"C00055, G10621",2.58,3.42,3.84,3.59,3.08,1.45,1.41,1.67,0.63,1.43
CoA,coa,HMDB01423,C00010,0.54,0.71,0.89,0.66,1.02,0.18,0.18,0.24,0.18,0.18
creatine,creat,HMDB00064,C00300,0.2,0.52,0.24,0.53,0.25,0.56,0.29,0.58,0.26,0.6
creatinine,crtn,HMDB00562,"C00791, D03600",0.62,0.35,0.34,0.51,1.03,2.41,0.48,0.8,0.34,2.26
cystathionine,cyst-L,"HMDB00099, HMDB00455, HMDB03614",C02291,0.68,0.78,0.89,0.99,0.95,0.71,0.94,0.91,0.98,0.8
cysteine,cys-L,HMDB00574,"C00097, D00026",1.71,7.62,8.57,8.41,10.57,11.44,5.84,10.37,6.33,8.5
cysteinylglycine,cgly,"HMDB00078, HMDB28775",C01419,0.07,0.16,0.17,0.12,0.17,1.03,0.29,0.6,0.2,0.68
cystine,Lcystin,HMDB00192,"C00491, D03636",2.96,5.19,6.02,5.61,7.3,7.57,6.13,7.79,7.1,8.34
cytidine,cytd,"HMDB00089, HMDB15122, HMDB30167","C00475, C02961, D00168, D07769",0.2,0.42,0.31,0.34,0.25,0.41,0.32,1,1,0.33
deoxycarnitine,4tmeabutn,"HMDB01161, HMDB06831",C01181,0.38,0.69,0.64,0.67,0.81,2.43,1.22,1.59,1.01,0.84
desmosterol,dsmsterol,HMDB02719,C01802,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
dihydroxyacetone,dha,HMDB01882,"C00184, D07841",1.63,1.24,1.2,0.91,0.7,1.11,1.02,0.92,0.87,0.9
dihydroxyacetone phosphate (DHAP),dhap,"HMDB01473, HMDB11735",C00111,1.1,3.18,0.95,0.36,0.7,0.02,0.02,0.02,0.02,0.02
docosapentaenoate (DPA; 22:5n3),clpnd,HMDB06528,C16513,0.37,0.23,0.46,0.13,0.15,2.17,1.42,0.85,1.62,1.01
docosapentaenoate (n6 DPA; 22:5n6),,"HMDB01976, HMDB60113",C02530,1.6,1.96,2.71,1.05,1.11,14.85,9.21,8.09,10.29,10.36
erythronate*,thrnt,"HMDB00613, HMDB00943",C01620,0.36,0.43,0.51,0.9,0.82,0.72,0.93,0.89,1.21,1.16
ethanolamine,etha,HMDB00149,"C00189, D05074",0.43,0.85,0.76,0.92,0.55,0.52,0.85,0.86,0.64,0.93
FAD,fad,HMDB01248,"C00016, D00005",1.3,2.25,1.4,2.22,1.4,1.42,0.88,1.58,0.88,1.54
fructose,fru,HMDB00660,"C00095, C01496, C10906, D00114 ",0.66,1.1,0.96,1.15,1.04,2.69,3.29,3.8,3.75,4.05
fructose 1-phosphate,f1p,HMDB01076,C01094,1.03,1.44,1.11,1.3,0.28,0.76,0.28,0.28,0.28,1.13
fructose 6-phosphate,f6p,HMDB00124,C00085,0.59,0.6,0.75,0.51,0.46,1.07,0.05,0.29,0.48,0.9
fumarate,fum,HMDB00134,"C00122, D02308",0.74,0.91,0.77,1.25,0.72,1.46,0.96,1.31,1.11,1.46
gamma-aminobutyrate (GABA),4abut,HMDB00112,"C00334, D00058",0.43,0.71,0.78,0.87,1.21,0.61,1.28,0.67,0.37,0.67
gamma-glutamylalanine,gluala,"HMDB06248, HMDB36301",C03738,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
GDP-mannose,gdpmann,HMDB01163,"C00096, G10614",0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
gluconate,glcn,"HMDB00625, HMDB03373",C00257,0.13,0.16,0.06,0.06,0.06,0.72,0.25,0.5,0.41,1.24
glucose,glc-D,"HMDB00122, HMDB06564","C00031, D00009",3.13,0.57,0.84,0.37,0.37,8.88,1.24,2.05,5.06,6.41
glucose 1-phosphate,g1p,"HMDB01306, HMDB01586",C00103,0.26,0.6,0.25,0.54,0.48,1.02,1.41,0.59,0.25,0.68
glucose 6-phosphate,g6p,"HMDB01401, HMDB01549, HMDB06793",C00092,0.97,0.54,1.08,0.37,0.31,1.43,0.08,0.19,0.47,0.86
glutamate,glu-L,HMDB00148,"C00025, D00007",0.77,1.03,1.09,0.95,1.25,0.87,1,0.96,1.04,0.97
glutamine,gln-L,HMDB00641,"C00064, D00015",1,0.64,0.76,0.48,0.57,4.49,4.26,3.95,4.64,4.72
"glutathione, oxidized (GSSG)",gthox,HMDB03337,"C00127, D00031",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"glutathione, reduced (GSH)",gthrd,"HMDB00125, HMDB01463, HMDB06960",C00051 ,0.01,0.03,0.02,0.04,0.02,0.1,0.04,0.09,0.03,0.07
glycerate,glyc-R,"HMDB00139, HMDB06372, HMDB31818",C00258,0.61,0.57,0.59,0.66,0.46,10.66,9.6,15.49,9.45,12.78
glycerol,glyc,HMDB00131,"C00116, D00028",0.86,1.11,0.94,1.12,0.77,1.84,1.13,1.33,1.49,1.73
glycerol 3-phosphate (G3P),glyc3p,"HMDB00126, HMDB02722",C00093,0.16,0.21,0.22,0.24,0.2,1.9,1.93,2.16,1.96,1.88
glycerophosphoethanolamine,g3pe,HMDB59660,C01233,0.13,0.13,0.13,0.13,0.13,2.62,3.83,3.63,5.3,3.2
glycerophosphorylcholine (GPC),g3pc,"HMDB00049, HMDB00086","C00670, D07349",0.35,0.34,0.41,0.25,0.35,2.28,2.91,2.31,2.77,2.36
glycine,gly,HMDB00123,"C00037, D00011",1.44,1.76,1.97,2.34,1.81,2.31,2.23,2.85,2.79,3.06
guanine,gua,HMDB00132,C00242,0.32,0.25,0.65,0.17,0.18,1.23,1.07,1.15,1.48,1.36
guanosine,gsn,HMDB00133,C00387,0.51,0.78,1.02,0.33,0.24,0.91,1.27,1.7,1.18,1.07
guanosine 5'-diphospho-fucose,gdpfuc,HMDB01095,"C00325, G10615",0.43,0.57,0.66,0.4,0.7,1.11,1.03,0.89,0.78,0.81
"gulono-1,4-lactone",gullac,HMDB03466,C01040,0.09,0.09,0.16,0.15,0.28,0.09,0.09,0.09,0.09,0.09
histidine,his-L,"HMDB00177, HMDB03412","C00135, D00032",1.42,1.03,1.28,0.87,0.83,4.34,4.71,5.14,5.75,5.5
homocysteine,hcys-L,HMDB00742,C00155,0.84,1.49,1.13,2.04,1.67,2.98,2.38,3.57,2.91,2.49
hydroxyproline,4hpro_LT,"HMDB00725, HMDB36576","C01157, C03651",0.12,0.23,0.15,0.3,0.3,0.27,0.24,0.37,0.19,0.37
hypotaurine,hyptaur,HMDB00965,C00519,0.3,0.61,0.44,0.62,0.72,0.85,0.94,1.1,0.69,1.27
hypoxanthine,hxan,HMDB00157,C00262,0.49,0.57,0.59,0.4,0.43,0.84,0.77,0.86,0.88,0.84
inosine,ins,HMDB00195,"C00294, D00054",0.79,0.97,1.08,0.65,0.63,0.5,0.8,0.9,0.78,0.58
inositol 1-phosphate (I1P),mi3p-D,"HMDB00213, HMDB06814",C04006,0.63,0.69,0.58,1.08,0.68,1.91,1.09,1.29,1.2,1.94
"glucose 1,6-diphosphate",g16bp,HMDB03514,C01231 ,4.43,3.02,2.32,2.01,1.83,0.81,0.73,0.78,0.67,0.73
ribulose 5-phosphate,ru5p-D,"HMDB00618, HMDB02033, HMDB02694",C00199,1.09,1.34,1.17,1.28,0.97,0.49,0.38,0.69,0.51,0.42
UDP-acetylglucosamine,uacgam,HMDB00290,"C00043, G10610",0.66,1.44,0.8,1.36,1.33,0.71,1.01,1,0.39,0.58
isoleucine,ile-L,HMDB00172,"C00407, D00065",0.86,0.75,0.71,0.63,0.66,4.52,3.54,3.87,3.84,4.71
kynurenine,Lkynr,"HMDB00183, HMDB00684","C00328, C01718",0.17,0.17,0.17,0.17,0.17,0.17,0.4,1.04,0.65,0.68
lactate,lac-L,"HMDB00190, HMDB03328",C00186,0.43,0.69,0.6,0.94,0.72,0.57,1.02,1.04,0.6,0.68
lanosterol,lanost,"HMDB01251, HMDB01323, HMDB01462",C01724,0.19,0.19,0.39,0.19,0.48,0.75,0.19,0.19,0.19,1.12
lathosterol,lthstrl,HMDB01170,C01189,0.79,1.21,1.35,1.19,1.07,0.44,0.93,0.44,0.44,0.44
laurate (12:0),ddca,HMDB00638,"C02679, D10714",0.81,0.99,0.91,0.71,0.72,1.58,1.3,1.26,1.43,1.51
leucine,leu-L,HMDB00687,"C00123, D00030",1.09,1,0.86,0.8,0.77,6.81,5.09,5.39,5.07,6.46
linoleate (18:2n6),lnlc,HMDB00673,C01595,1.16,0.86,0.97,0.49,0.48,2.08,1,1.04,1,1.29
lysine,lys-L,HMDB00182,"C00047, D02304",0.77,0.88,0.87,0.43,0.71,7.78,7.12,6.67,8.42,7.17
malate,mal-L,HMDB00156,C00149,0.79,1.24,0.88,2.07,0.97,0.7,0.6,1.06,0.66,0.85
maltose,malt,HMDB00163,"C00208, D00044, G00275",0.74,0.33,0.61,0.42,0.33,4.28,1.7,2.08,7.95,3.8
maltotriose,malttr,HMDB01262,C01835,1.13,0.15,0.6,2,0.55,16.99,8.22,7.46,31.5,18.38
mannose 6-phosphate,man6p,HMDB01078,C00275,0.9,0.63,1.03,0.57,0.48,1.07,0.31,0.33,0.55,0.75
margarate (17:0),hpdca,HMDB02259,,1.28,1.09,1.61,0.55,0.66,2.89,2.41,2.17,2.96,2.07
methionine,met-L,HMDB00696,"C00073, D00019, D04984",1,0.94,0.9,0.74,0.68,7.41,5.53,5.83,5.5,6.94
myo-inositol,inost,"HMDB00211, HMDB02256","C00137, C06151, D08079",0.11,0.22,0.18,0.28,0.29,0.11,0.15,0.17,0.12,0.14
myristate (14:0),ttdca,HMDB00806,C06424,0.89,0.99,1.01,0.72,0.59,1.61,1.17,1.42,1.35,1.43
N-acetylaspartate (NAA),Nacasp,HMDB00812,C01042,0.83,2.11,1.55,2.62,2.96,0.92,0.78,1.64,0.3,1.88
N-acetylgalactosamine,acgal,"HMDB00212, HMDB00835",C01132,0.88,0.66,0.68,1.12,0.98,2.28,1.97,1.9,1.8,2.57
N-acetylglucosamine,acgam,"HMDB00215, HMDB00533, HMDB14288",C00140,1.03,0.81,0.82,0.81,0.83,2.2,0.62,1.27,1.45,1.87
N-acetylglucosamine 6-phosphate,acgam6p,"HMDB01062, HMDB02817",C00357,0.57,0.46,0.33,0.56,0.48,3.22,1.34,2.42,4.36,6.16
N-acetylmannosamine,acmana,HMDB01129,"C00645, C02711, C03136",1.57,1.03,0.79,1.44,0.82,0.27,0.82,0.95,0.81,0.76
N-acetylneuraminate,acnam,"HMDB00230, HMDB00800","C00270, C19910",0.54,0.63,0.53,0.84,0.48,1.1,0.71,1,0.96,1.54
N-acetylornithine,acorn,"HMDB03357, HMDB06489",C00437,0.37,0.3,0.3,0.57,0.72,0.3,0.3,0.3,0.3,0.3
N-acetylputrescine,aprut,"HMDB02064, HMDB60268",C02714,0.31,1.42,0.39,0.28,0.66,0.24,1.77,0.95,2.27,0.24
NAD+,nad,HMDB00902,"C00003, D00002",0.05,0.07,0.05,0.07,0.05,0.66,1.38,1.5,0.58,0.7
NADH,nadh,HMDB01487,C00004,0.16,0.13,0.14,0.13,0.27,0.13,0.13,0.13,0.13,0.41
NADP+,nadp,HMDB00217,C00006,0.09,0.08,0.08,0.16,0.18,0.08,0.9,0.67,0.56,0.08
nicotinamide,ncam,HMDB01406,"C00153, D00036",1.23,1.65,1.57,1.52,1.41,1.95,1.72,1.92,1.98,2.1
nicotinamide ribonucleotide (NMN),nmn,"HMDB00229, HMDB59645",C00455,0.1,0.1,0.1,0.1,0.1,2.08,1.16,1.03,2.46,1.78
nicotinamide riboside*,rnam,HMDB00855,C03150,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
oleate (18:1n9),ocdcea,"HMDB00207, HMDB02066","C00712, D02315",0.72,0.93,0.75,1.09,0.8,1.28,0.97,1.07,1.13,1.3
ornithine,orn-D,HMDB03374,C00515,0.46,0.51,0.37,0.49,0.49,2.56,2.33,1.75,1.95,1.95
orotate,orot,HMDB00226,"C00295, D00055",0.51,0.27,0.51,0.27,0.27,0.27,1.33,1.11,1.99,0.5
palmitate (16:0),hdca,"HMDB00220, HMDB60083","C00249, D05341",1.25,1.09,1.27,0.77,0.69,1.88,1.43,1.47,1.63,1.59
palmitoleate (16:1n7),hdcea,"HMDB03229, HMDB12328, HMDB60082",C08362,1.54,0.95,1.16,0.56,0.6,1.8,1.09,0.99,1.07,1.38
palmitoylcarnitine (C16),pmtcrn,"HMDB00222, HMDB00846",C02990,0.3,0.55,0.54,0.67,0.51,0.59,0.28,0.6,1.26,1.51
pantothenate (Vitamin B5),pnto-R,HMDB00210,"C00864, D07413",0.77,0.91,1.02,0.89,1.06,0.57,0.43,0.56,0.51,0.64
pentadecanoate (15:0),ptdca,HMDB00826,C16537,1.07,1.03,1.34,0.74,0.72,2.66,1.9,2.05,1.84,1.98
phenylalanine,phe-L,"HMDB00159, HMDB00612","C00079, D00021",1.34,1.01,1.05,0.85,0.86,4.72,4.12,4.38,4.34,4.67
phosphate,pi,"HMDB01429, HMDB05947 ","C00009, D05467",0.88,1.11,0.95,1.11,0.83,1.9,1.37,1.54,1.76,1.86
phosphocholine,cholp,"HMDB00284, HMDB01565",C00588,0.52,0.86,0.75,0.76,0.71,0.51,0.4,0.49,0.43,0.49
phosphoenolpyruvate (PEP),pep,HMDB00263,C00074,0.22,0.16,0.38,0.12,0.17,6.67,16.68,15.2,34.67,11.74
phosphoethanolamine (PE),ethamp,"HMDB00224, HMDB12279, HMDB60151, HMDB60152",C00346,0.55,0.47,0.87,0.77,0.68,3.6,3.67,4.63,6.41,4.7
phosphopantetheine,pan4p,HMDB01416,C01134,1.31,0.73,0.87,0.75,0.44,2.06,0.29,0.67,0.44,1.38
proline,pro-L,HMDB00162,"C00148, D00035",0.55,0.49,0.56,0.45,0.54,1.49,1.36,1.42,1.31,1.46
propionylcarnitine (C3),pcrn,HMDB00824,C03017,0.47,0.7,0.61,0.42,0.72,3.56,2.19,2.62,1.81,2.83
prostaglandin D2,prostgd2,HMDB01403,C00696,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
prostaglandin E2,prostge2,"HMDB01220, HMDB05844, HMDB60041","C00584, D00079",0.34,0.12,0.12,0.3,0.12,0.92,2.09,2.49,1.26,1.5
putrescine,ptrc,"HMDB01414, HMDB60243",C00134,0.08,0.22,0.1,0.18,0.27,0.45,0.41,0.35,0.25,0.37
pyridoxal,pydx,HMDB01545,C00250,0.77,0.72,0.7,0.57,0.6,1.05,1.31,1.57,1.74,1.49
pyrophosphate (PPi),ppi,HMDB00250,C00013,0.64,2.72,0.37,0.81,1.24,1.44,3.87,0.77,1.69,0.65
pyruvate,pyr,HMDB00243,C00022,0.53,0.31,0.19,0.31,0.18,0.62,0.73,1.29,0.64,1.04
ribitol,rbt,HMDB00508,C00474,1.22,1.75,2.05,2.76,2.81,0.58,1.41,1.05,1.51,1.06
riboflavin (Vitamin B2),ribflv,HMDB00244,"C00255, D00050",0.39,0.39,0.59,0.39,0.42,0.39,0.39,0.39,0.39,0.39
ribose,rib-D,HMDB00283,C00121,0.5,0.81,0.82,0.6,0.43,1.18,0.85,1.38,1.11,1.38
ribose 5-phosphate,r5p,HMDB01548,C00117,1.04,1.01,0.75,0.49,0.67,0.82,0.56,1.55,0.88,0.56
ribulose,rbl-D,HMDB00621,"C00309, C08354",0.58,1.49,0.85,0.91,0.47,1.05,0.78,1.08,0.96,1.45
S-adenosylhomocysteine (SAH),ahcys,HMDB00939,C00021,1.05,2.03,1.29,1.83,1.23,1.62,1.44,1.96,1.31,1.52
sedoheptulose-7-phosphate,s7p,HMDB01068,"C05382, C20956",0.15,0.15,0.29,0.21,0.15,0.59,0.15,0.15,0.59,0.15
serine,ser-D,HMDB03406,C00740,1.24,0.81,1.04,0.96,0.69,3.98,4.34,4.51,5.33,4.89
S-lactoylglutathione,lgt-S,HMDB01066,C03451,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
sorbitol,sbt-D,HMDB00247,"C00794, D00096",0.45,0.93,1.01,1.44,1.37,0.89,1.65,1.96,1.58,1.67
spermidine,spmd,HMDB01257,C00315,0.52,0.67,0.6,0.78,0.63,1.44,1.58,1.22,0.98,1.18
spermine,sprm,HMDB01256,C00750,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
sphinganine,sphgn,HMDB00269,C00836,0.8,1.34,0.67,0.75,0.49,0.4,0.71,1.16,0.75,0.63
sphingosine,sphings,HMDB00252,C00319,1.15,2.38,1.03,2.09,1.2,1.44,0.68,1.38,1.43,1.16
stearate (18:0),ocdca,HMDB00827,"C01530, D00119",1.28,1.07,1.42,0.82,0.61,2.57,1.95,2.01,2.26,1.89
stearoylcarnitine (C18),stcrn,HMDB00848,NULL,0.43,0.89,0.53,0.5,0.82,1.37,0.59,0.31,1.17,0.31
succinate,succ,HMDB00254,C00042,0.1,0.46,0.22,0.48,0.27,0.71,0.5,0.61,0.46,0.49
taurine,taur,HMDB00251,"C00245, D00047",0.21,0.61,0.49,0.35,0.45,0.42,0.71,0.54,0.28,0.47
thiamin (Vitamin B1),thm,HMDB00235,C00378,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
threonine,thr-L,HMDB00167,"C00188, D00041",1.53,1.32,1.25,1.04,0.93,6.08,5.01,6.14,6.09,6.78
thymidine,thymd,"HMDB00273, HMDB15394","C00214, D06675",0.11,0.22,0.19,0.11,0.18,0.56,0.11,0.28,0.5,0.7
thymine,thym,HMDB00262,C00178,0.71,1.27,0.88,0.89,0.24,0.13,0.13,0.59,1.46,0.7
TMP,dtmp,HMDB01227,C00364,1.55,1.03,1.87,1.28,1.82,0.29,0.29,0.29,0.29,0.29
tryptophan,trp-L,HMDB00929,"C00078, D00020",0.89,0.76,0.78,0.62,0.73,4.78,3.68,3.98,4.04,4.9
tyrosine,tyr-L,"HMDB00158, HMDB00647","C00082, D00022",1.12,0.97,0.84,0.81,0.84,4.17,4.02,4.46,3.77,4.9
UDP-galactose,udpgal,HMDB00302,"C00052, G10609",0.26,0.81,0.54,1.26,0.67,1.58,1.7,1.68,1.81,1.91
UDP-glucose,udpg,HMDB00286,"C00029, G10608",0.49,0.51,0.7,1.04,0.8,0.7,1.63,0.92,0.88,0.86
UDP-glucuronate,udpglcur,"HMDB00935, HMDB01384","C00167, G10612",1.9,2.87,2.48,2.71,2.76,2.26,2.12,2.49,2.16,2.54
uracil,ura,HMDB00300,"C00106, D00027, D09776",0.45,0.65,0.7,0.6,0.25,0.25,0.31,0.51,0.6,0.57
uridine,uri,HMDB00296,"C00299, C16745",0.55,0.76,0.85,0.4,0.46,3.21,1.92,2.5,3.11,3
uridine 5'-diphosphate (UDP),udp,HMDB00295,"C00015, G10619",0.92,0.36,1.29,0.92,0.74,0.2,1.54,1.08,0.56,0.25
uridine 5'-triphosphate (UTP),utp,HMDB00285,C00075,0.07,0.07,0.07,0.07,0.07,0.49,1.6,1,0.17,0.79
uridine monophosphate (5' or 3'),ump,HMDB00288,C00105,2.17,3.7,2.58,4.01,3.08,0.07,0.07,0.07,0.07,0.07
vaccenate (18:1n7),vacc,"HMDB03231, HMDB10377",C08367,0.62,0.78,0.65,0.94,0.81,1.1,1.28,1.05,1.28,1.34
valine,val-L,"HMDB00883, HMDB34366","C00183, D00039",1.14,1.01,0.92,0.82,0.79,6.39,5.12,5.7,5.8,6.77
xanthine,xan,HMDB00292,C00385,0.96,2.44,0.81,2.09,0.63,0.68,0.16,0.72,0.17,1.1
xanthosine,xtsn,HMDB00299,C01762,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
xanthosine 5'-monophosphate (xmp),xmp,HMDB01554,C00655,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
xylitol,xylt,HMDB02917,"C00379, D00061",0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
xylonate,xylnt,HMDB60256,C05411,0.34,0.59,0.36,0.45,0.43,2.01,2.69,2.43,3.04,2.59
